Type,Artist,Year,Album,Titel,text
Song,Haiyti,2020,SUI SUI,WAS HAST DU DAMIT ZU TUN,"[Hook]
Ich kipp' den Syrup in meinen Juice
Doch was hast du damit zu tun?
Designer-Drugs in meinem Blut
Und ich verschwinde in der Flut (Heh)
Die Welt ist mir noch nicht genug
Verbrenn' die Scheine in der Glut
Betäub' Gefühle mit dem Goose
Doch was hast du damit zu tun?

[Part 1]
Kripos vor der Flat, ich
Steig' in Lexus, fahre weg, ich
Denk' an Jesus, Desert Eagle
Bin zu famous, um zu schießen (Trrra)
Ich denk' zu viel, kein Endorphin im Batmobil, ürgh (Uh)
Ich kenn' die Streets, vergess' sie nie, I have a dream

[Pre-Hook]
Ich bin zu high (Zu high)
Ich trip two times
Sui-Sui-Suicide
Flieg' ins Moonlight (Heh)
[Hook]
Ich kipp' den Syrup in meinen Juice
Doch was hast du damit zu tun?
Designer-Drugs in meinem Blut
Und ich verschwinde in der Flut (Heh)
Die Welt ist mir noch nicht genug
Verbrenn' die Scheine in der Glut
Betäub' Gefühle mit dem Goose
Doch was hast du damit zu tun?

[Post-Hook]
Doch was hast du damit zu tun? (Ey)
Doch was hast du damit zu tun?

[Part 2]
Ich hab' alles das, was du gern hättest
Ich rapp' nicht viel, doch glaub mal wenn dann flex' ich
Du schenkst mir dein Herz, tut mir leid, ich brech' es
Satisfaction, wouh
Ich bin in der Trap, hab' mich dort vergessen
Fühle mich gefang'n, trage tausend Ketten
Diamanten-Grillz, hör' nicht auf zu lächeln (Heh, heh, huah)

[Pre-Hook]
Ich bin zu high (Zu high)
Ich trip two times
Sui-Sui-Suicide
Flieg' ins Moonlight (Heh)
[Hook]
Ich kipp' den Syrup in meinen Juice
Doch was hast du damit zu tun?
Designer-Drugs in meinem Blut
Und ich verschwinde in der Flut (Heh)
Die Welt ist mir noch nicht genug
Verbrenn' die Scheine in der Glut
Betäub' Gefühle mit dem Goose
Doch was hast du damit zu tun?

[Post-Hook]
Doch was hast du damit zu tun? (Ey)
Doch was hast du damit zu tun?"
Song,Haiyti,2020,SUI SUI,TOULOUSE (Ft. Albi X),"[Hook: Haiyti]
Mache Stories in Toulouse, lauf' auf EQTs
Als wär es ein Déjà-vu, noch ein Perroquet
Alles dreht sich wie im Loop, olé, olé
Bad Vibes, doch mir geht's gut (Brauch' kein Désolé)
Mache Stories in Toulouse, lauf' auf EQTs
Als wär es ein Déjà-vu, noch ein Perroquet
Alles dreht sich wie im Loop, olé, olé
Bad Vibes, doch mir geht's gut (Brauch' kein Désolé)

[Part 1: Haiyti]
Hab' keine Zeit für die Goons
Schlechter Vibe, mir geht's gut
Trag' ein Trikot von Tipico (Tipico)
Dicka, ich hab' keine Crew
Ich finde keinen von euch cool
Lieber bleib' ich in Toulouse
Goldketten tragen, Geldrollen machen
Glaub mal, ich habe mehr Neider als du
Sag mir, sag mir jetzt, was du siehst
Am Handgelenk 'ne Rarität
Sie scheint so hell, hell fast wie Schnee
Steh' vor'm Ballet (-et, -et, -et)
[Hook: Haiyti]
Mache Stories in Toulouse, lauf' auf EQTs
Als wär es ein Déjà-vu, noch ein Perroquet
Alles dreht sich wie im Loop, olé, olé
Bad Vibes, doch mir geht's gut (Brauch' kein Désolé)
Mache Stories in Toulouse, lauf' auf EQTs
Als wär es ein Déjà-vu, noch ein Perroquet
Alles dreht sich wie im Loop, olé, olé
Bad Vibes, doch mir geht's gut (Brauch' kein Désolé)

[Part 2: Albi X]
Toléka! Na sali makambu nanko (Ey)
E sali Problem na ngai te, eza ya yo (Okay)
Sikoyo, nini yango (Ey)
Songisa liboso, oso banga ko (Ah)
Yaka to bina bien (Ya bien)
Yaka to bina bien (Yaka to bina bien)
Yaka to bina bien (Okay)
On va gater le coin (Ah)
On va buouger (buouger)
Let's go, okay (Okay)
Nous somme pas fatigue (Fatigue)
So we don't play (Okay)
On va bouger (bouger)
Let's go, okay (Okay)
Nous somme pas fatigue (Fatigue)
So we don't play (Okay)
Na meli Muscador (Muscador)
Ya rouge ya Vert encore (Okay)
Na meli yango ya fort (Ey)
Na meli yango ya prope (Ya prope)
Na langue, na langue
Na yebisi yo e tali ngai te
Na langue (Langue, ah)
[Hook: Haiyti]
Mache Stories in Toulouse, lauf' auf EQTs
Als wär es ein Déjà-vu, noch ein Perroquet
Alles dreht sich wie im Loop, olé, olé
Bad Vibes, doch mir geht's gut (Brauch' kein Désolé)
Mache Stories in Toulouse, lauf' auf EQTs
Als wär es ein Déjà-vu, noch ein Perroquet
Alles dreht sich wie im Loop, olé, olé
Bad Vibes, doch mir geht's gut (Brauch' kein Désolé)"
Song,Haiyti,2020,SUI SUI,BENTLEY,"[Intro: Haiyti]
Spiele nicht Fairplay
Check' nicht ein unter fünf Sterne
Ja, sie sind uns auf der Fährte
Doch seh' sie nur aus der Ferne

[Hook: Haiyti]
Fahre im Bentley, Bentley weg
Minimum zwei Ketten unter mei'm Hemd
Drehe sofort alle Schalter auf Max
Scheiß mal auf Fame, Mann, ich will nur das— (Haa)
Fahre im Bentley, Bentley weg
Minimum zwei Ketten unter mei'm Hemd
Drehe sofort alle Schalter auf Max
Scheiß mal auf Fame, Mann, ich will nur das— (Haa)

[Part 1: Haiyti]
Pickups, Lambos
Big Batz im Bando
Ja, ich bin grade auf Sendung
Nein, ich spiel' kein Nintendo, ah
Nitro, Glitzer
Meine Siedlung immer finster
Gucci-Slipper
Veste sicher, mmmmh
Dämonen gucken aus den Schiebedächern
Rede nicht mit mir, red mit der Eagle Desert, mmmmh
Drehe Runden draußen, wieder mieses Wetter
Und es fliegen Messer durch dein'n Lieblingssweater
[Hook: Haiyti]
Fahre im Bentley, Bentley weg
Minimum zwei Ketten unter mei'm Hemd
Drehe sofort alle Schalter auf Max
Scheiß mal auf Fame, Mann, ich will nur das— (Haa)
Fahre im Bentley, Bentley weg
Minimum zwei Ketten unter mei'm Hemd
Drehe sofort alle Schalter auf Max
Scheiß mal auf Fame, Mann, ich will nur das— (Haa)

[Bridge: Haiyti & Shqiptar]
Spiele nicht Fairplay
Check' nicht ein unter fünf Sterne
Ja, sie sind uns auf der Fährte (Fährte, woah, woah, woah)
Doch seh' sie nur aus der Ferne

[Part 2: Shqiptar]
Du willst mich ficken, doch das geht nach hinten wie Moonwalks
Ich mach' gut Scheine, keine Coupons
Kläre Bälle, Buffon
Ich hab' jede Menge, nimm ein Zug von
Circa sechs Ernten pro Jahr
Sitz' im Rolls-Royce, bin den Sternen so nah
Doch hab' Nerven aus Stahl wie der Lauf an deiner Schläfe
Die ich brauch', es wird laut, wenn ich rede
Heh! Keine Geschichten, eh-eh
Aber schreibe Geschichte
Dicke Batzen warten im Tresi
Diamanten tanzen wie Diddy, woah
Kein Tagträumer
Trag' die Tag Heuer und die war teuer
Ich hol' Toten raus, so wie Grabräuber
Hah, gute Nacht, Deutschland
Schnelles Geld, ich mach' schnelles Geld
Hau' Pakete weg wie Doug Heffernan
Bang, bang, bang
Um Mamas Hals soll in Ketten häng'n
Schüsse fallen aus dem Bentley
[Hook: Haiyti]
Fahre im Bentley, Bentley weg
Minimum zwei Ketten unter mei'm Hemd
Drehe sofort alle Schalter auf Max
Scheiß mal auf Fame, Mann, ich will nur das— (Haa)
Fahre im Bentley, Bentley weg
Minimum zwei Ketten unter mei'm Hemd
Drehe sofort alle Schalter auf Max
Scheiß mal auf Fame, Mann, ich will nur das— (Haa)

[Part 3: Maaf]
Fresher Fettsack im Bentley GT (Ja, ja, ja)
Ice wie Dezember, Rolex-Emblem (Wouh)
Bitches fragen wie es Maaf wohl geht
Mann, ich zähl' Geld, während ihr bei Deutschrappern bläst (Hahaha)
Ich schlaf' nur mit dem Colt (Ja)
Non-stop dope, war zu lange broke (Huh, huh)
Nicht am Handy, rule number one
Sonst Tritte auf dein'n Kopf, rote Sohle (Ahh, Louboutin)
Bitches setzen Knete auf mein'n Kopf
Ich sitz' im Bentley und roll' (Haha)
OCB-Papes immer long (Ahh)
Komm mit mir zieh'n, ich schwör', ich geb' all
Fick Drip, ich bin Wave
Klick-klack, SIG Sauer, fick Fakes (Huh, huh)
Maaf Ghetto, Diggi, nix Trends
Lila, Lila, Lila, Lila, Rich Gang
[Hook: Haiyti]
Fahre im Bentley, Bentley weg
Minimum zwei Ketten unter mei'm Hemd
Drehe sofort alle Schalter auf Max
Scheiß mal auf Fame, Mann, ich will nur das— (Haa)
Fahre im Bentley, Bentley weg
Minimum zwei Ketten unter mei'm Hemd
Drehe sofort alle Schalter auf Max
Scheiß mal auf Fame, Mann, ich will nur das— (Haa)

[Outro: Haiyti]
Spiele nicht Fairplay
Check' nicht ein unter fünf Sterne
Ja, sie sind uns auf der Fährte
Doch seh' sie nur aus der Ferne"
Song,Haiyti,2020,SUI SUI,BARRIO (Ft. Veysel),"[Hook: Haiyti]
Fahre sonntags durch mein Barrio (Barrio)
Johnny, Johnny Cash im Radio (Im Radio)
Ferrari-rotes Cabrio (Cabrio)
Ein Kaffee mit mei'm Sicario (Sicario, ey)

[Part 1: Haiyti]
Pesos, Euros, Dollars, Diro, Diro
Fahr' durch die Siedlung (Wouh)
Roll' für's Benzin, roll' für die Streets (Ey)
Laid-back Musik, es ist safe, dass ich schieß' (Brrt)
Himmel Camouflage (Ah), erzähl mal, wo du warst, eh (Heh?)
Scheibenwischer an (Chew), du siehst nie wieder einen Star, ürgh
Mein T-Shirt Avantgarde, ja, sie lieben meine Art (Uh)
Telefoniere mit Mama, fahre 17 km/h

[Pre-Hook: Haiyti]
Hii-iih, nicht mal Zeit, um zu rasen
Zähle Scheine, während Feinde noch schlafen

[Hook: Haiyti & Veysel]
Fahre sonntags durch mein Barrio (Hii-iih, chew)
Johnny, Johnny Cash im Radio (Im Radio, uh)
Ferrari-rotes Cabrio (Cabrio, hii-iih, heh)
Ein Kaffee mit mei'm Sicario (Yeah, Sicario, brrt)
Sehe mein'n Namen auf Fassaden
Staub und Scherben, ja, ich fahre
Sonntags durch mein Barrio (Barrio)
Johnny, Johnny Cash im Radio (Im Radio, skrrt)


[Part 2: Veysel]
Schuhe fresh, Kette glänzt, braungebrannt, Assi-Toast (Yes)
Kriminell, delinquent, baller' drauf, mag ich rot (Uhh)
Iced-out Einkauf, Patek Philippe, feiner Schliff (Bling)
Und es wird gefährlich, ja, genau, wenn es leise ist
Feinde wollen an mein'n Tisch, töte sie mir einem Stich (Skrrt)
Bela Boyz, wir bleiben wild, wenn wir kommen, seid ihr still (Scht)
Mache Scheine, geh' nicht pleite, so wie dieser Franjo
Schnapp' die Weiber, mieser Stecher, Alter, nenn mich Flavio
Briatore (Briatore), mi amore (Mi amore)
Gelbe Corvette (Corvette), Richtung Sonne

[Hook: Haiyti]
Fahre sonntags durch mein Barrio (Hii-iih, chew)
Johnny, Johnny Cash im Radio (Im Radio, uh)
Ferrari-rotes Cabrio (Cabrio, hii-iih, heh)
Ein Kaffee mit mei'm Sicario (Yeah, Sicario, brrt)
Sehe mein'n Namen auf Fassaden
Staub und Scherben, ja, ich fahre
Sonntags durch mein Barrio (Barrio)
Johnny, Johnny Cash im Radio (Im Radio)

[Part 3: Haiyti]
Nenn mich Lucky Lucky Luke
Rauch' die Kippe bis zur Glut
Glaub mir, ich mach's wieder gut
Mit 'nem Money-Money-Move (Huh)
Ich bin laid-back, Baby
Cashout, Payday (Ey)
Outfit, Baby (Ey, ey)
Backstage, maybe (Ey, ey, huh)
Ich mach' dich zum Tranquillo
Komm mir gar nicht mit dei'm Lido
Wir sind Stunden im Casino
Und am Ende wieder zero
Mach' aus gar nix ein Drama (Ey)
Hab' das Barkash verballert
Bau' 'ne perlweiße Casa (Ürgh, ürgh, ürgh, ürgh)
In die goldene Sahara

[Pre-Hook: Haiyti]
Hii-iih, nicht mal Zeit, um zu rasen
Zähle Scheine, während Feinde noch schlafen

[Hook: Haiyti]
Fahre sonntags durch mein Barrio
Johnny, Johnny Cash im Radio (Im Radio)
Ferrari-rotes Cabrio (Cabrio)
Ein Kaffee mit mei'm Sicario (Sicario)
Sehe mein'n Namen auf Fassaden
Staub und Scherben, ja, ich fahre
Sonntags durch mein Barrio (Barrio)
Johnny, Johnny Cash im Radio (Im Radio)"
Song,Haiyti,2020,SUI SUI,PANAME,"[Part 1]
Rauch von der Havanna
Und mein Herz in Paname
Mach mal bitte langsam (Mach)
Die Küste weiß, sieht aus wie Schnee
Afrika Bambaataa (Baa-baa)
Bleib' die ganze Nacht, will nicht mehr geh'n
Siehst du das Panorama? (Ah-ah-ah)
Doch mein Herz in Paname

[Pre-Hook]
Costa Blanca, Poker Player
Ganzes Weltall in meinem Glas
Mula, Mula, zu viel verprasst
Wir bleiben wach in

[Hook]
Paname, Paname
Sand wie Schnee, lass uns geh'n
Paname, Paname, ey
Paname, Paname
Sand wie Schnee, lass uns geh'n
Paname, Paname


[Part 2]
Ich trag' drei Color (Uh), drei Color
Neben mir ein Sidelover, Sidelover
Wolken zieh'n in Zeitraffer, Zeitraffer
Ich war noch nie einsamer

[Pre-Hook]
Costa Blanca, Poker Player
Ganzes Weltall in meinem Glas
Mula, Mula, zu viel verprasst
Wir bleiben wach in

[Hook]
Paname, Paname
Sand wie Schnee, lass uns geh'n
Paname, Paname, ey
Paname, Paname
Sand wie Schnee, lass uns geh'n
Paname, Paname, ey
Pana—

[Outro]
Ich trag' drei Color, drei Color
Neben mir ein Sidelover, Sidelover
Wolken zieh'n in Zeitraffer, Zeitraffer
Ich war noch nie einsamer"
Song,Haiyti,2020,SUI SUI,BLIZZARD,"[Intro]
Huh

[Hook]
Ich brauch' mehr Blizzard
Es ist so trüb in meinem Glas
Konnt's nicht verhindern (Uh)
Jetzt lieg' ich tagelang schon wach
Cry me a river
Ich hab' gedacht, es war nur Spaß
Als du gesagt hast, „Das war's!“

[Part 1]
Schicke Gefühle nach Alcatraz
Mache mich auf in die kalte Nacht
Lege noch heute einen Wald in Brand
Sie sagen, ich übertreibe das
Lasse mein Herz im Asservat
Rede jetzt nicht von Arkadaş
Gib mir die Gun und ich baller' ab
Hebe grad ab ins La La Land
Hijo de la luna, luna, luna, luna
Lügen wie Medusa, -dusa, -dusa, -dusa
Ich wollt nicht mal dein Mula, Mula, Mula, Mula
Jetzt bezahl' ich Shooter, Shooter, Shooter, Shooter (Shoot, shoot)
Jeden Tag das Gleiche, ah (Ja, ja, ja)
Jeden Tag ein Tullamore
Kannst du nicht verbleiben, mmh
Mama, hör auf zu weinen, please (Ah)


[Hook]
Ich brauch' mehr Blizzard (Wa-a-ah)
Es ist so trüb in meinem Glas (Ey, ey)
Konnt's nicht verhindern (Uh)
Jetzt lieg' ich tagelang schon wach (Huh)
Cry me a river (Ja, ja, ja, ja)
Ich hab' gedacht, es war nur Spaß (Ey)
Als du gesagt hast, „Das war's!“ (Ah)

[Part 2]
Sie sagen, „Darüber wächst schon Gras“ (Ey)
Mache mich auf nach Alcatraz
Fahr' den Beamer durch die Matrix
Habe das alles nie gedacht
Und mein Trost nur zehn Karat
Warte, bis du endlich da bist (Ah-ah-ah-ah)
Schüsse fallen in mein Herz
Schüsse fallen wieder auf dem Ku'damm
Diese Welt in meinem Kopf (Ja)
Bitter-sweet wie ein Kahlúa
Ich hab' so viel versäumt
Träum' mich in eine Laguna
Und hier bleibe ich solang wie das Perc in meiner Blutbahn

[Hook]
Ich brauch' mehr Blizzard
Es ist so trüb in meinem Glas (Chew, chew, chew)
Konnt's nicht verhindern (Uh)
Jetzt lieg' ich tagelang schon wach
Cry me a river (Ja, ja, ja, ja)
Ich hab' gedacht, es war nur Spaß (Ah)
Als du gesagt hast, „Das war's!“ (Ja, ja)

[Outro]
Ich brauch' mehr Blizzard
Cry me a river"
Song,Haiyti,2020,SUI SUI,BLACK ICE,"[Hook]
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht

[Part 1]
Alle meine Freunde sind auf Dope (Oh, oh, oh, oh)
Und ich bin schon wieder auf der Road
Hustlen, denn das Budget ist zu low (Low)
808 Anrufe auf mei'm Phone (808, Baby)
Fahr' die Reifen heiß wie Pirelli (Rawr, rawr)
Mein Duft Lost Cherry (Cherry, Cherry)
Schreib' ein'n Song, sipp' den Hennessy
Noch nie war ich so happy

[Hook]
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht
[Part 2]
Glaubt mir, dieses Leben eine Hoe
Und ich bin schon wieder auf der Road
Ich geh' mit dem [?]
Tu nicht so als wär ich nur ein Joke
Sage alles ab
Milligramm in meiner Bloodline (Bah, bah)
Fahre durch die Nacht (Chew, chew)
Lichter bewegen sich Halftime (Brrt)
Mache keine Stops (No)
Denn unter mir brennt der Asphalt (Ahh)

[Pre-Hook]
Muss mich nicht überwinden
Fahr' in Lichtgeschwindigkeit (Ja, ey)

[Hook]
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht"
Song,Haiyti,2020,SUI SUI,LA LA LAND,"[Hook]
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht

[Part 1]
Alle meine Freunde sind auf Dope (Oh, oh, oh, oh)
Und ich bin schon wieder auf der Road
Hustlen, denn das Budget ist zu low (Low)
808 Anrufe auf mei'm Phone (808, Baby)
Fahr' die Reifen heiß wie Pirelli (Rawr, rawr)
Mein Duft Lost Cherry (Cherry, Cherry)
Schreib' ein'n Song, sipp' den Hennessy
Noch nie war ich so happy

[Hook]
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht
[Part 2]
Glaubt mir, dieses Leben eine Hoe
Und ich bin schon wieder auf der Road
Ich geh' mit dem [?]
Tu nicht so als wär ich nur ein Joke
Sage alles ab
Milligramm in meiner Bloodline (Bah, bah)
Fahre durch die Nacht (Chew, chew)
Lichter bewegen sich Halftime (Brrt)
Mache keine Stops (No)
Denn unter mir brennt der Asphalt (Ahh)

[Pre-Hook]
Muss mich nicht überwinden
Fahr' in Lichtgeschwindigkeit (Ja, ey)

[Hook]
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht
Black Ice und es scheint
Flat white und der bleibt
Trap Life, wieder aufgewacht im Bentley, fühl' mich so leicht"
Song,Haiyti,2020,SUI SUI,PHOTOSHOOT,"[Intro]
Sui, Sui

[Hook]
Photoshoot, wache auf in Louis, Louis
Ich bin rich (Wouh), doch denk' nur an Sui, Sui (Üah)
Alles gut, Crack-Model, Booty, Booty (Booty, Booty)
Money-Move, Scheine bunt wie Tutti Frutti, Wouh
Photoshoot, wache auf in Louis, Louis (Brr)
Ich bin rich, doch denk' nur an Sui, Sui (Wah, wah)
Alles gut, Crack-Model, Booty, Booty (Booty, Booty)
Money-Move, Scheine bunt wie Tutti Frutti (Uh, ah)

[Part 1]
Ice in der Fresse wie Mo douzi (Uh)
Scheine so hell und es wird spooky
Neues Pitbull-Baby, nenn' es Scooby-Doo
Wo die Scheine herkomm'n? Weiß nicht, bin stupido, eh
Paris-Hilton-Blut, eh, nehme noch ein'n Zug, eh
Alles, was ich hab', eh, verschwindet in der Flut, eh
Springe vor den Zug, alles nur Betrug
Ich bin wieder off, eh, Zeit vergeht im Flug
Ich bin jeden Tag im Clizzub



, du willst auch mal drippin'
Ich bin überall am glitzern, du willst auch mal dippen (Üah)
Mann, ich smoke nur Zigarren, keine Pausenkippen
Denn das Leben ist zu kurz, es sind nur Augenblicke


[Hook]
Photoshoot, wache auf in Louis, Louis
Ich bin rich (Wouh), doch denk' nur an Sui, Sui (Üah)
Alles gut, Crack-Model, Booty, Booty (Booty, Booty)
Money-Move, Scheine bunt wie Tutti Frutti, Wouh
Photoshoot, wache auf in Louis, Louis (Brr)
Ich bin rich, doch denk' nur an Sui, Sui (Wah, wah)
Alles gut, Crack-Model, Booty, Booty (Booty, Booty)
Money-Move, Scheine bunt wie Tutti Frutti (Uh, ah)

[Part 2]
Ja, ich bin ein Star, denn sie seh'n mich nur nachts (Hah)
Brudi, geh mal aus dem Weg, denn ich komm mit paar Plugs
Meine Ketten Weißgold, Skinny-Jeans sitzt knapp
Die ganzen Gangster komm'n nicht klar, beweg' mich viel zu krank
Boys Toffifee, eh, er nennt mich Robbery, eh
Ich mach' ein'n Überfall, eh, er ist ein Wannabe, eh
Lass' die Scheine fliegen, eh, davon hab' ich viele, eh
Mach mir keine Szene, eh, ich will nicht drüber reden, mh

[Hook]
Photoshoot, wache auf in Louis, Louis
Ich bin rich (Wouh), doch denk' nur an Sui, Sui (Üah)
Alles gut, Crack-Model, Booty, Booty (Booty, Booty)
Money-Move, Scheine bunt wie Tutti Frutti, Wouh
Photoshoot, wache auf in Louis, Louis (Brr)
Ich bin rich, doch denk' nur an Sui, Sui (Wah, wah)
Alles gut, Crack-Model, Booty, Booty (Booty, Booty)
Money-Move, Scheine bunt wie Tutti Frutti (Uh, ah)"
Song,Haiyti,2020,SUI SUI,ICH HAB MIT DEM MONEY GETALKED,"[Part 1]
Mann, ich habe keine Basics, urgh
Scheiß auf deine Playlist, ürgh
Haiyti, was für Image?
Mann, auf keinen Fall Palm Angels (Uh)
Flex' so gut, bis jeder hatet (Ey)
Du trägst Eigenmarke Asos (Wack)
Rapp' auf Type Beat Mike WiLL Made-It (Urgh, urgh)
Hab' dein Sidecheck auf mei'm Table (Ah)
Der Schlitten ein Rari, die Straßen sind tödlich, ich fahr', huah (Huh, uh)
Nur kurz auf die Party, ich hol' mir die Bündel in Bar, Cash (Cash, Cash)
Ja, ich smoke die Kippen Fiket, dafür werd' ich bezahlt, huh (Ey)
Ja, sie sagen, mein Auftritt war wiedermal phänomenal

[Hook]
Ich hab' mit dem Money getalked, ah (Uh)
Ich hab' mit dem Money getalked, eh (Ja)
Ich hab' mit dem Money getalked (Kay)
Mann, ich hab' mit dem Money getalked, ey
Ich hab' mit dem Money getalked, ah (Uh)
Ich hab' mit dem Money getalked (Ey)
Ich hab' mit dem Money getalked (Uh)
Mann, ich hab' mit dem Money getalked (Uh)
[Part 2]
Seit „SUI SUI“ machen Gangster Miese (Oh mein Gott, uh)
Besser, du fragst mich nicht nach 'ner Ziese (Verpiss dich, Dicka)
Labels haben Angst, wenn ich release (Ching, ching)
Hände hoch oder ich schieße (Brrra, huh)
Drive-by, Desert Eagle, eh (Ürgh)
High Life und Endorphine (Uh)
Kein Stein ohne Siegel, ey (Hm)
Breite Reifen und sie schieben, hm (Ey, ey, ürgh)
Telefon besetzt, eh (Huh)
Steine neu besetzt, eh (Huh)
Rollen S-Klasse weg (Chew)
Zahle keinen Tax, eh
Haiyti, warum bist du so? (Bist du so?)
Meine Karte Black (Uh)
American Express, huh

[Hook]
Ich hab' mit dem Money getalked, ah (Uh)
Ich hab' mit dem Money getalked, eh (Ja)
Ich hab' mit dem Money getalked (Kay)
Mann, ich hab' mit dem Money getalked, ey
Ich hab' mit dem Money getalked, ah (Uh)
Ich hab' mit dem Money getalked (Ey)
Ich hab' mit dem Money getalked (Uh)
Mann, ich hab' mit dem Money getalked (Uh)
Ich hab' mit dem Money getalked, ah
Ich hab' mit dem Money getalked, eh (Ja)
Ich hab' mit dem Money getalked
Mann, ich hab' mit dem Money getalked, ey (Brrt, ey)
Ich hab' mit dem Money getalked, eh
Ich hab' mit dem Money getalked (Tzhe)
Ich hab' mit dem Money getalked (Tzhe, tzhe, tzhe)
Mann, ich hab' mit dem Money getalked (Tzhe, yeah)"
